query,title,year,authors,venue,doi,url,source
ukf ekf localization mobile robot,Integrating mobile games with flipped learning to enhance word- and sentence-level strategies of classical Chinese reading,2027,Kit Ling Lau; Quan Qian; Morris Jong; Xuan Zang,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10077191,https://doi.org/10.1504/ijmlo.2027.10077191,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Factors influencing behavioral intention of students to adopt mobile computer supported collaborative learning (mCSCL) in resource-constrained nations: A structural equation modelling approach.,2027,Ugochi Ugwu; Natasha Anne Rappa; Kok Wai Wong,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10074734,https://doi.org/10.1504/ijmlo.2027.10074734,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Machine Learning-Based Defect Detection and Classification for Arecanut in Vision-Guided Robot Harvesting,2027,Santhosh R; Dhruba Jyoti Sut; Uma M; Prabhu Sethuramalingam,International Journal of Intelligent Engineering Informatics,10.1504/ijiei.2027.10075234,https://doi.org/10.1504/ijiei.2027.10075234,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Mobile learning adoption in Nigerian universities among computer science students: the role of effort expectancy and social influence,2027,Olayinka Babayemi Makinde; Sunday Segun Akinbowale,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10077740,https://doi.org/10.1504/ijmlo.2027.10077740,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Mouse Tracking for Web Marketing: Enhancing User Experience in Web Application Software by Measuring Self-Efficacy and Hesitation Levels,2114,Katerina Tzafilkou; Nicolaos Protogeros; Charalampos Yakinthos,International Journal of Strategic Innovative Marketing,10.15556/ijsim.01.04.005,https://doi.org/10.15556/ijsim.01.04.005,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,How do consumers perceive a/an logotype/emblem in the advertisements: an eye tracking study,2114,Yener Girisken; Diren Bulut,International Journal of Strategic Innovative Marketing,10.15556/ijsim.01.04.002,https://doi.org/10.15556/ijsim.01.04.002,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Contour Based Real Time Multiple Object Tracking,2106,; Mrs Malleshwari MS,International journal of Emerging Trends in Science and Technology,10.18535/ijetst/v3i08.10,https://doi.org/10.18535/ijetst/v3i08.10,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Nonlinear Self-Focusing of Cosh–Gaussian Laser Beam in Relativistic Plasma with Linear Absorption,2060,K. Walia; P. Sharma,Proceedings of NAS RA Physics,10.54503/0002-3035-2025-61.1-19,https://doi.org/10.54503/0002-3035-2025-61.1-19,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,"A Non-Regular Icosahedron Geometry Satellite Form, Mirror Invested Polyhedro Heliotrope, For Optical Tracking",2029,,Advances in Theoretical &amp; Computational Physics,10.33140/atcp.02.02.04,https://doi.org/10.33140/atcp.02.02.04,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Identification and Estimation of General Nonlinear Structured Latent Factor Model for Functional Data,2028,Xiaorui Wang; Yimang Zhang; Jian Qing Shi,Statistica Sinica,10.5705/ss.202025.0148,https://doi.org/10.5705/ss.202025.0148,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Nonlinear Analysis of Nodal Covariates in Network: Dimension Reduction and Clustering,2028,Zhonghan Wang; Shenbin Zheng; Junlong Zhao,Statistica Sinica,10.5705/ss.202025.0362,https://doi.org/10.5705/ss.202025.0362,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Precise State-of-Charge Estimation for LIBs: A Cutting-Edge Nonlinear Model Approach with Enhanced Robustness and Reliability,2028,Xiaowei ZHANG,International Journal of Critical Infrastructures,10.1504/ijcis.2028.10073299,https://doi.org/10.1504/ijcis.2028.10073299,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Bubble Modeling and Tagging: a Stochastic Nonlinear Autoregression Approach,2028,Xuanling Yang; Dong Li; Ting Zhang,Statistica Sinica,10.5705/ss.202025.0450,https://doi.org/10.5705/ss.202025.0450,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,On a Flexible Generalized Model Averaging Forecasting of Nonlinear Time Series,2028,Rong Peng; Zudi Lu; Fangsheng Ge,Statistica Sinica,10.5705/ss.202024.0371,https://doi.org/10.5705/ss.202024.0371,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,GA-optimised fuzzy control for trajectory tracking of a 3-DOF robotic manipulator,2027,Abdullah Abushokor; Asem Abdalhadi; Muhammad Faizan Mysorewala,International Journal of Automation and Control,10.1504/ijaac.2027.10075191,https://doi.org/10.1504/ijaac.2027.10075191,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Lateral Force Analysis and Deformation Detection Method for Nonlinear Underground Geotechnical Structures,2027,Junhua Wu; Xinye Hu; Yongkang Gong,International Journal of Critical Infrastructures,10.1504/ijcis.2027.10072306,https://doi.org/10.1504/ijcis.2027.10072306,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,IDESC: a hybrid ESCSO-DDPG algorithm for risk-aware UAV path planning in radar environments,2027,Jingjing Zou; Haojie Yang; Rongxin Xu; Bektur Azimov; Jiale Huang; Peng Geng,International Journal of Automation and Control,10.1504/ijaac.2027.10074071,https://doi.org/10.1504/ijaac.2027.10074071,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Tracking the shift: a Delphi-based SWOT analysis of Industry 4.0 in Slovakia,2027,L'ubica Kotorova Slunsa; Miroslav Balog,International Journal of Management and Enterprise Development,10.1504/ijmed.2027.10075507,https://doi.org/10.1504/ijmed.2027.10075507,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,AI-Enhanced Nonlinear Economic Modelling for Sports Systems: Linking Material Performance and Cybersecurity Risk in Insurance Cost-Benefit Analysis,2027,Tang Shijie,International Journal of Internet Protocol Technology,10.1504/ijipt.2027.10076440,https://doi.org/10.1504/ijipt.2027.10076440,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Distributed sliding mode observer-based leader-follower synchronisation for affine nonlinear multi-agent chaotic systems with uncertain dynamics,2027,Reza Ghasemi,International Journal of Automation and Control,10.1504/ijaac.2027.10076281,https://doi.org/10.1504/ijaac.2027.10076281,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Parametric optimisation of neural sliding controller for nonlinear coupling tank plant using central force optimisation algorithm,2027,Nguyen Anh Tuan; Ho Pham Huy Anh,International Journal of Automation and Control,10.1504/ijaac.2027.10076098,https://doi.org/10.1504/ijaac.2027.10076098,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Solar Photovoltaic System-Fed Battery Charging with Decision-Tree-Assisted Maximum Power Point Tracking,2027,Akshay Raj; Ranjan Walia; Ankur Kumar Gupta; Vaibhav Sharma,International Journal of Critical Infrastructures,10.1504/ijcis.2027.10069855,https://doi.org/10.1504/ijcis.2027.10069855,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,End Trajectory Tracking Control of Flexible Space Manipulator based on Improved RBF Neural Network,2027,Junfeng Wu; Lei Wang; Bing Chen,International Journal of Internet Manufacturing and Services,10.1504/ijims.2027.10071215,https://doi.org/10.1504/ijims.2027.10071215,Crossref (latest topic aligned)
nonlinear mpc uav trajectory tracking,Improved artificial neural network approach for solving constrained optimal control of nonlinear fractional-order systems,2027,Fan Shu; Chengyu Hu; Xuesong Yan; Wenyin Gong; Dongcheng Li,International Journal of Automation and Control,10.1504/ijaac.2027.10075190,https://doi.org/10.1504/ijaac.2027.10075190,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,"Can Electric Vehicles (EVs) Drive our Smart Cities Exploring the Moderating Effect of Support Infrastructure, Model Choice-ability and Resale Value.",2028,Karan Kumar; Saba Parveen; Sajal Das,International Journal of Applied Management Science,10.1504/ijams.2028.10077869,https://doi.org/10.1504/ijams.2028.10077869,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Modelling and optimisation of separately excited DC motor using genetic algorithm and particle swarm optimisation with comparison of PID performance indices,2027,Sabin Kasula; Rajesh M. Pindoriya,International Journal of Power Electronics,10.1504/ijpelec.2027.10077589,https://doi.org/10.1504/ijpelec.2027.10077589,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Untangling the puzzle: how central bank interventions drive currency hyperinflation and hamper SMEs,2027,Alaa Hamieh; Jean François Verdie; Charbel Salloum; Maher Al Sayah,International Journal of Business and Emerging Markets,10.1504/ijbem.2027.10064406,https://doi.org/10.1504/ijbem.2027.10064406,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,"Cerebral Hemodynamics in Pediatric Abusive Head Trauma: 3 Severe Cases with Preserved Motor Cortex, Hyperperfusion, and Recovery of Mild Paralysis",2026,Mitsuru TAMURA; Shinji YAMASHITA; Tomoki KAWANO; Satoru KOMAKI; Takeru TSUKINO; Koutarou KOJIMA; Kenichi MAEDA; Yasuhiro KIMOTO,NMC Case Report Journal,10.2176/jns-nmc.2025-0258,https://doi.org/10.2176/jns-nmc.2025-0258,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Design and meshing characteristics analysis of a harmonic drive three-dimensional tooth profile based on addendum modification,2026,Ke Xiao; Linjun Li; Yanfeng Han; Xuexiu Liang; Cheng Wang; Feifei Yuan; Da Jin,Chinese Journal of Mechanical Engineering,10.1016/j.cjme.2026.100288,https://doi.org/10.1016/j.cjme.2026.100288,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Tooth profile modification and meshing characteristics for a novel precision movable tooth drive based on logarithmic spiral,2026,Shisong Wang; Xingqiao Deng; Yucheng Liu; Liangzhao Qi; Haowen Wang; Chenglong Dong; Zhulin Zeng,Chinese Journal of Mechanical Engineering,10.1016/j.cjme.2026.100292,https://doi.org/10.1016/j.cjme.2026.100292,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Can cloud computing adoption drive SME sustainability? Evidence from Nepal,2026,Pramod Ghimire; Shishi Kumar Piaralal; Nur Amalina Zulkefli; Santhi Raghavan; Yon Rosli Daud,Strategic Business Research,10.1016/j.sbr.2026.100096,https://doi.org/10.1016/j.sbr.2026.100096,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Influence of seating position and crash-related factors on passenger injury severity in motor vehicles-involved crashes,2026,Charles Atombo; Emmanuel Kofi Adanu; John Coker Ayimah; Robbert Kodzo Biscoff; Raymond Akuh,African Transport Studies,10.1016/j.aftran.2026.100087,https://doi.org/10.1016/j.aftran.2026.100087,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Latent belief reinforcement learning for online motor imagery classification,2026,Huan Luo; Na Lu; Xiaopeng Wang; Xu Niu,Pattern Recognition,10.1016/j.patcog.2026.113503,https://doi.org/10.1016/j.patcog.2026.113503,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Biological motion perception in social and non‑social contexts: Differential links between fine motor skills and autistic traits,2026,Elena Gavrilova; Ksenia Novoselova; Andriy Myachykov; Yury Shtyrov,Research in Neurodiversity,10.1016/j.rin.2026.100023,https://doi.org/10.1016/j.rin.2026.100023,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,RecHCA: Hierarchical Context Awareness for one-step sensorless freehand 3D ultrasound reconstruction,2026,Qing-Han Yang; Jing-Yang Zhang; Chuan Chen; Xing-Yang Liu; Yan Xi; Yong-Ping Zheng; Yang Chen; Guang-Quan Zhou,Pattern Recognition,10.1016/j.patcog.2026.113718,https://doi.org/10.1016/j.patcog.2026.113718,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,"Buffering rescue and microbial functional redundancy drive the synergy in ternary co-digestion of food waste, fallen leaves, and sewage sludge",2026,Kun Li; Yan Li; Dongliang Hua; Yuxiao Zhao; Xufeng Yuan; Wenhao Liu; Meirong Xu; Irini Angelidaki,Biomass and Bioenergy,10.1016/j.biombioe.2026.109429,https://doi.org/10.1016/j.biombioe.2026.109429,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Delivery of CDNF in collagen hydrogels modulates N-glycosylation while improving motor function in a rodent model of Parkinson's disease,2026,Ana Lúcia Rebelo; Sunny A. Abbah; Sergio Martin-Saldaña; Amal Aljaabary; Alexandre Trotier; Eilis Dowd; Richard R. Drake; Martina Marchetti-Deschmann,Biomaterials,10.1016/j.biomaterials.2026.124165,https://doi.org/10.1016/j.biomaterials.2026.124165,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Utilizing the Herrmann finite elements for assessing the deformation of viscoelastic solid rocket motor propellant grains,2026,G. Sarangapani; R. Marimuthu; Boggarapu Nageswara Rao,Aerospace Science and Technology,10.1016/j.ast.2026.112296,https://doi.org/10.1016/j.ast.2026.112296,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Elevational and anthropogenic gradients drive divergent assembly mechanisms of free-living and particle-attached bacterioplankton in Chinese lakes,2026,Tong Liu; Yaqi Zheng; Shangsheng Sun; Wei Zhang; Erik Jeppesen; Qingchuan Chou; Liqing Wang,Water Biology and Security,10.1016/j.watbs.2025.100541,https://doi.org/10.1016/j.watbs.2025.100541,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Electromagnetic and Thermal Design of Partially HTS Linear Motor: Analysis of Thrust Ripple Harmonics and Thermal Optimization,2026,Koichi Matsuda; Xueying Ma,IEEE Transactions on Applied Superconductivity,10.1109/tasc.2026.3663729,https://doi.org/10.1109/tasc.2026.3663729,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Bacterial community composition and network complexity drive microbial and plant-derived carbon accumulation with long-term manure application,2026,Ying Zhao; Guangren Zheng; Xiaozeng Han; Xu Chen; Xinchun Lu; Jun Yan; Wenxiu Zou,Soil and Tillage Research,10.1016/j.still.2026.107220,https://doi.org/10.1016/j.still.2026.107220,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Will you trust and drive like your automated vehicle? Effects of human–vehicle driving style matching on subjective experience and subsequent manual driving,2026,Tingru Zhang; Kailun Bo; Disi Tian,Travel Behaviour and Society,10.1016/j.tbs.2026.101298,https://doi.org/10.1016/j.tbs.2026.101298,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Joint state and parameter estimation for Anaerobic Digestion using PSO - tuned EKF based on the modified AMOCO model,2026,Bethlehem Abera; Mengesha Mamo; Getachew Bekele; Torsten Wik,Biomass and Bioenergy,10.1016/j.biombioe.2026.109365,https://doi.org/10.1016/j.biombioe.2026.109365,Crossref (latest topic aligned)
sensorless motor drive mras smo ekf,Configuration innovation and unified/accurate dynamics modelling methodology for spatial multi-drive mode parallel mechanism,2026,Dong Liang; Xiao Sun; Junpeng Zhang; Yimin Song; Boyan Chang; Zhen Wang,Applied Mathematical Modelling,10.1016/j.apm.2026.116939,https://doi.org/10.1016/j.apm.2026.116939,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Study on dynamic of chemical components of Rhizoma Alismatis and Evodia rutaecarpa in their compatibility,2100,LI Xiaoyan,China Journal of Chinese Materia Medica,10.4268/cjcmm20110212,https://doi.org/10.4268/cjcmm20110212,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,CIHI Survey: Hospital Admissions via the Emergency Department: Implications for Planning and Patient Flow,2088,Heather Dawson; Jaya Weerasooriya; Greg Webster,Healthcare Quarterly,10.12927/hcq.2013.19492,https://doi.org/10.12927/hcq.2013.19492,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Review. Japan’s search for a foreign policy path between China and the US,2058,Takahiro Yamamoto,Asia Maior,10.52056/9788833138282/23,https://doi.org/10.52056/9788833138282/23,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Analysis of building energy efficiency optimization design effectiveness based on multi-objective optimization algorithm,2028,Wei Guo; Yaqiong Dong,Archives of Civil Engineering,10.24425/ace.2025.155084,https://doi.org/10.24425/ace.2025.155084,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Navigating retirement financial planning literature:  a PRISMA  complaint systematic approach,2028,Prabhat Mittal; Divya Jain,International Journal of Electronic Finance,10.1504/ijef.2028.10068878,https://doi.org/10.1504/ijef.2028.10068878,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,A Primal Dual Active Set with Continuation Algorithm for ℓ0-penalized High-dimensional Accelerated Failure Time Model,2028,Peili Li; Ruoying Hu; Yanyun Ding; Yunhai Xiao,Statistica Sinica,10.5705/ss.202025.0283,https://doi.org/10.5705/ss.202025.0283,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Management accounting of TQM practices on organisations performance: a moderating role of strategic planning,2028,Fahmi Natigor Nasution; May Hana Bilqis Rangkuti; Juwita Agustrisna,International Journal of Business Performance Management,10.1504/ijbpm.2028.10076095,https://doi.org/10.1504/ijbpm.2028.10076095,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Bi-optimal Quantile-based Test Planning for Accelerated Degradation Test Based on Wiener Process,2028,Ya-Shan Cheng; Chien-Yu Peng,Statistica Sinica,10.5705/ss.202025.0285,https://doi.org/10.5705/ss.202025.0285,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,A Hybrid PSO - SVM Algorithm for Enhanced Nodule Classification in CT Scans: Advancing Lung Cancer Diagnosis,2028,Shalini S; P.S.Eliahim Jeevaraj,International Journal of Internet Manufacturing and Services,10.1504/ijims.2028.10076884,https://doi.org/10.1504/ijims.2028.10076884,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Tests on Dynamic Ranking,2027,Nan Lu; Jian Shi; Xin-Yu Tian; Kai Song,Statistica Sinica,10.5705/ss.202024.0153,https://doi.org/10.5705/ss.202024.0153,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Deep Learning and Feature Optimisation Algorithm for Course Recommendation Systems,2027,Mary Amala Bai V; Jisha Isaac,International Journal of System of Systems Engineering,10.1504/ijsse.2027.10068838,https://doi.org/10.1504/ijsse.2027.10068838,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Technology-Based Start-Ups Mapping: a Bibliometric Study and Prospective Research Path,2027,Ruby Gothwal; Divya Malhan; Simran Sehgal,International Journal of Technoentrepreneurship,10.1504/ijte.2027.10075188,https://doi.org/10.1504/ijte.2027.10075188,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Phishing detection based on Harris Hawks optimisation algorithm and web-based ontology,2027,Seyyed Mohammad Javadi Moghaddam; Shadi Dalvand,International Journal of Electronic Security and Digital Forensics,10.1504/ijesdf.2027.10077337,https://doi.org/10.1504/ijesdf.2027.10077337,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Optimising the location of EV public charging stations in electrical distribution system using Giza Pyramid construction algorithm,2027,Sandip S. Yeole; Prakash G. Burade,International Journal of Mathematical Modelling and Numerical Optimisation,10.1504/ijmmno.2027.10077957,https://doi.org/10.1504/ijmmno.2027.10077957,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,A Locally Adaptive Algorithm for Multiple Testing with Network Structure,2027,Ziyi Liang; T. Tony Cai; Wenguang Sun; Yin Xia,Statistica Sinica,10.5705/ss.202024.0002,https://doi.org/10.5705/ss.202024.0002,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Optimising Accuracy Rate of Genomic Image Representation of Human Corona Virus Sequences for COVID-19 Detection using Modified Quantum-Based Marine Predators Algorithm,2027,Gowri Ganesh; Sharanyaa S.; Harikrishnan R; Subashree S,International Journal of Information and Decision Sciences,10.1504/ijids.2027.10070075,https://doi.org/10.1504/ijids.2027.10070075,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,A Hybrid SSA-BBO Algorithm for the Optimisation of Multi-Layer Perceptron Training,2027,Amit Kumar,International Journal of Intelligent Engineering Informatics,10.1504/ijiei.2027.10076900,https://doi.org/10.1504/ijiei.2027.10076900,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Cross-Platform Music Recommendation Method and Innovation Path Based on the Internet of Things and Blockchain,2027,Jin Ma; Yi Li,International Journal of Arts and Technology,10.1504/ijart.2027.10076014,https://doi.org/10.1504/ijart.2027.10076014,Crossref (latest topic aligned)
bees algorithm path planning dynamic obstacle,Big Data Clustering Analysis Based on Improved K-means Algorithm,2027,Zhixiao Li,International Journal of Web Engineering and Technology,10.1504/ijwet.2027.10076842,https://doi.org/10.1504/ijwet.2027.10076842,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Are the mosquito and vector control programs economic effective?,2117,Lambros Tsourgiannis; Despoina Chatzipanagiotou,International Journal of Strategic Innovative Marketing,10.15556/ijsim.04.03.002,https://doi.org/10.15556/ijsim.04.03.002,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Theory of Planned Behaviour: the Intention-Behaviour Relationship and the Perceived Behavioural Control (PBC) Relationship with Intention and Behaviour,2115,Stavros Kiriakidis,International Journal of Strategic Innovative Marketing,10.15556/ijsim.02.03.004,https://doi.org/10.15556/ijsim.02.03.004,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Learner profiles and the process of Learning in the Higher Educational Context,2115,Christos Skourlas; Petros Belsis,International Journal on Integrated Information Management,10.15556/ijiim.02.01.003,https://doi.org/10.15556/ijiim.02.01.003,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,WEB-BASED COLLABORATIVE LEARNING AND KNOWLEDGE SHARING IN INFORMAL BUSINESS NETWORKS,2114,George Stalidis; Costis Papadimitrakopoulos; Theocharis Tsakiris,International Journal on Integrated Information Management,10.15556/ijiim.01.02.002,https://doi.org/10.15556/ijiim.01.02.002,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Comparison of Locus of Control Behaviour Scores in Normal and Individuals with stuttering – A new way to Approach Stuttering Disorder for Speech – Language Pathologists,2106,Sachin B. Kumbhar; Dipti Gupta,International Journal Of Community Health And Medical Research,10.21276/ijchmr.2016.2.2.07,https://doi.org/10.21276/ijchmr.2016.2.2.07,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Availability and Utilization of Tools and Equipment for Teaching and Learning Garment Making Trade in the Senior Secondary Schools in Edo State,2106,,"International Journal of Humanities, Social Sciences and Education",10.20431/2349-0381.0303002,https://doi.org/10.20431/2349-0381.0303002,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,We Cannot Cede Control of Weapons to Artificial Intelligence,2077,Kate G,Scientific American,10.1038/scientificamerican072077-axs4kzsdvehyqhomb7gkv,https://doi.org/10.1038/scientificamerican072077-axs4kzsdvehyqhomb7gkv,Crossref (latest topic aligned)
